State,x_coor,y_coor
Andhra Pradesh,-63.0,-150.0
Arunachal Pradesh,212.0,109.0
Assam,184.0,63.0
Bihar,52.0,50.0
Chattisgarh,-14.0,-30.0
Goa,-153.0,-149.0
Gujarat,-200.0,-0.0
Haryana,-115.0,123.0
Himachal Pradesh,-97.0,182.0
Jammu & Kashmir,-139.0,217.0
Jharkhand,43.0,9.0
Karnataka,-123.0,-162.0
Kerala,-111.0,-240.0
Ladakh,-77.0,226.0
Madhya Pradesh,-83.0,2.0
Maharashtra,-140.0,-76.0
Manipur,203.0,29.0
Meghalaya,155.0,46.0
Mizoram,181.0,1.0
Nagaland,215.0,57.0
Odisha,32.0,-51.0
Punjab,-134.0,156.0
Rajasthan,-168.0,73.0
Sikkim,103.0,91.0
Tamil Nadu,-77.0,-227.0
Telangana,-68.0,-99.0
Tripura,159.0,12.0
Uttar Pradesh,-43.0,88.0
Uttarakhand,-64.0,146.0
West Bengal,96.0,-3.0
